Name,Type,Color,Power Supply,Side Panel,External Volume,Internal 3.5" Bays,Price
Montech XR,ATX Mid Tower,Black,None,Tempered Glass,45.0 L,2,$69.90
Phanteks XT PRO,ATX Mid Tower,Black,None,Tempered Glass,51.8 L,2,$52.98
Lian Li Vector V100R,ATX Mid Tower,Black,None,Tempered Glass,53.2 L,1,$74.98
Corsair 3500X ARGB,ATX Mid Tower,White,None,Tempered Glass,55.9 L,2,$119.99
NZXT H5 Flow (2024),ATX Mid Tower,Black,None,Tempered Glass,45.0 L,1,$84.99
Lian Li O11 VISION COMPACT,ATX Mid Tower,Black,None,Tempered Glass,57.4 L,2,$124.99
Lian Li O11 VISION COMPACT,ATX Mid Tower,White,None,Tempered Glass,57.4 L,2,$124.99
HYTE Y70 Touch Infinite,ATX Mid Tower,White,None,Tempered Glass,70.7 L,2,$379.99
Fractal Design North,ATX Mid Tower,Black,None,Tempered Glass,45.1 L,2,$123.99
Lian Li O11 Dynamic Mini V2,ATX Mid Tower,Black,None,Tempered Glass,45.4 L,2,$79.99
Corsair FRAME 4000D RS ARGB,ATX Mid Tower,Black,None,Tempered Glass,56.7 L,2,$94.99
Phanteks Eclipse G370A,ATX Mid Tower,Black,None,Tempered Glass,48.7 L,0,$47.98
HYTE Y70 Touch Infinite,ATX Mid Tower,Black,None,Tempered Glass,70.7 L,2,$379.99
BGears b-Pellucid,MicroATX Mini Tower,Black,None,Tinted Tempered Glass,36.6 L,1,$52.99
Lian Li A3-mATX,MicroATX Mini Tower,Black,None,Mesh,26.3 L,1,$72.98
Lian Li O11 Dynamic Mini V2,ATX Mid Tower,White,None,Tempered Glass,45.4 L,2,$78.99
Fractal Design North XL,ATX Full Tower,Black,None,Tinted Tempered Glass,61.4 L,2,$155.99
Lian Li O11D EVO RGB,ATX Mid Tower,Black,None,Tempered Glass,65.3 L,4,$159.99
Phanteks XT PRO ULTRA,ATX Mid Tower,Black,None,Tempered Glass,51.8 L,2,$69.99
NZXT H9 Flow (2025),ATX Mid Tower,Black,None,Tinted Tempered Glass,76.7 L,2,$119.99
Lian Li VECTOR V100R MINI,MicroATX Mid Tower,Black,None,Tempered Glass,42.9 L,1,$64.98
Corsair 4000D Airflow,ATX Mid Tower,Black,None,Tinted Tempered Glass,48.6 L,2,
Lian Li A3-mATX,MicroATX Mini Tower,Black / Brown,None,Mesh,26.3 L,1,$89.99
Lian Li Lancool 207,ATX Mid Tower,Blue,None,Tempered Glass,45.5 L,2,$81.98
