Name,Size,Color,RPM,Airflow,Noise Level,PWM,Price
Lian Li Uni Fan SL-Infinity 3-Pack,120 mm,Black,,0 - 61.3 CFM,0 - 29 dB,Yes,$74.99
ARCTIC P12 Pro PST 5-Pack,120 mm,Black,600 - 3000 RPM,77 CFM,,Yes,$27.49
Noctua NF-A12x25 PWM chromax.black.swap,120 mm,Black,450 - 2000 RPM,60.09 CFM,22.6 dB,Yes,$37.95
Lian Li Uni Fan SL-Infinity 3-Pack,120 mm,White,,0 - 61.3 CFM,0 - 29 dB,Yes,$82.99
Lian Li Uni Fan SL-Infinity,120 mm,Black,,0 - 61.3 CFM,0 - 29 dB,Yes,$30.99
ARCTIC P12 Pro,120 mm,Black,600 - 3000 RPM,77 CFM,,Yes,$8.49
Corsair RS120 ARGB 3-Pack,120 mm,White,420 - 2100 RPM,13.3 - 72.8 CFM,10 - 36 dB,Yes,$44.99
Lian Li UNI FAN SL Wireless 120 Reverse Blade 3-Pack,120 mm,White,400 - 2000 RPM,64 CFM,31 dB,Yes,$93.99
Thermalright TL-C12C-S X3 3-Pack,120 mm,Black,1550 RPM,66.17 CFM,25.6 dB,Yes,$12.80
Thermalright TL-C12C X3 3-Pack,120 mm,Black,1550 RPM,66.17 CFM,25.6 dB,Yes,$10.19
Noctua NF-A14x25 G2 PWM Sx2-PP chromax.black 2-Pack,140 mm,Black,,0 - 91.58 CFM,0 - 24.8 dB,Yes,$84.95
Lian Li Uni Fan SL-Infinity,120 mm,Black,200 - 2100 RPM,63.6 CFM,32 dB,Yes,$29.99
Noctua NF-A12x25 G2 PWM Sx2-PP 2-Pack,120 mm,Brown,1500 - 1800 RPM,51.32 - 63.15 CFM,18.1 - 22.5 dB,Yes,$64.90
Lian Li UNI FAN TL LCD Wireless 3-Pack,120 mm,Black,350 - 1900 RPM,54.3 CFM,31 dB,Yes,$149.99
Lian Li Uni Fan SL-Infinity,120 mm,White,200 - 2100 RPM,63.6 CFM,32 dB,Yes,$29.42
Corsair RS120 ARGB,120 mm,Black,420 - 2100 RPM,13.3 - 72.8 CFM,10 - 36 dB,Yes,$16.98
Lian Li Uni Fan SL-Infinity,140 mm,Black,200 - 1600 RPM,71.6 CFM,28.6 dB,Yes,$29.54
Lian Li UNI FAN SL Wireless 120 Reverse Blade 3-Pack,120 mm,Black,400 - 2000 RPM,64 CFM,31 dB,Yes,$63.99
ARCTIC P12 Pro Reverse A-RGB 3-Pack,120 mm,Black,500 - 3000 RPM,73 CFM,,Yes,$28.99
ARCTIC P14 Pro PST,140 mm,Black,400 - 2500 RPM,110 CFM,,Yes,$10.49
ARCTIC P12 Pro A-RGB 3-Pack,120 mm,Black,600 - 3000 RPM,77 CFM,,Yes,$28.49
Lian Li UNI FAN TL Wireless 3-Pack,120 mm,Black,200 - 2600 RPM,90.1 CFM,33 dB,Yes,$94.99
Lian Li Uni Fan SL-Infinity,120 mm,White,,0 - 61.3 CFM,0 - 29 dB,Yes,$30.99
Corsair iCUE ML RGB ELITE Premium 3-Pack,120 mm,Black,450 - 2000 RPM,14.86 - 58.1 CFM,10 - 30.4 dB,Yes,$223.73
ARCTIC P12 Pro A-RGB,120 mm,Black,600 - 3000 RPM,77 CFM,,Yes,$12.49
be quiet! Silent Wings Pro 4,120 mm,Black,3000 RPM,83.9 CFM,36.9 dB,Yes,$29.30
